04/01/11 09:33 AM
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
79.00,79.00,79.00,79.00,79.00,79.00,79.00,
1.00,8.00,-0.05,79.00,79.00,79.00,0.00,
1.00,8.00,-0.05,79.00,79.00,79.00,0.03,
1.00,8.00,-0.05,79.00,79.00,79.00,0.03,
1.00,8.00,-0.06,79.00,79.00,79.00,0.08,
1.00,8.00,-0.06,79.00,79.00,79.00,0.03,
1.00,8.00,-0.06,79.00,79.00,79.00,0.03,
1.00,8.00,-0.06,79.00,79.00,79.00,1.91,
1.00,8.00,-0.05,79.00,79.00,79.00,3.62,
1.00,8.00,-0.04,79.00,79.00,79.00,3.62,
1.00,8.00,-0.05,79.00,79.00,79.00,5.50,
1.00,8.00,-0.06,79.00,79.00,79.00,7.29,
1.00,8.00,-0.05,79.00,79.00,79.00,7.29,
1.00,8.00,-0.04,79.00,79.00,79.00,8.87,
1.00,8.00,-0.04,79.00,79.00,79.00,10.40,
1.00,8.00,-0.05,79.00,79.00,79.00,10.40,
1.00,8.00,-0.04,79.00,79.00,79.00,12.09,
1.00,8.00,-0.03,79.00,79.00,79.00,13.77,
1.00,8.00,-0.02,79.00,79.00,79.00,13.77,
1.00,8.00,-0.03,79.00,79.00,79.00,15.41,
1.00,8.00,-0.02,79.00,79.00,79.00,17.09,
1.00,8.00,-0.03,79.00,79.00,79.00,17.09,
1.00,8.00,-0.04,79.00,79.00,79.00,18.85,
1.00,8.00,-0.04,79.00,79.00,79.00,20.61,
1.00,8.00,-0.06,79.00,79.00,79.00,20.61,
1.00,8.00,-0.06,79.00,79.00,79.00,22.37,
1.00,8.00,-0.06,79.00,79.00,79.00,24.15,
1.00,8.00,-0.06,79.00,79.00,79.00,24.15,
1.00,8.00,-0.06,79.00,79.00,79.00,25.94,
1.00,8.00,-0.07,79.00,79.00,79.00,27.62,
1.00,8.00,-0.06,79.00,79.00,79.00,27.62,
1.00,8.00,-0.06,79.00,79.00,79.00,29.30,
1.00,8.00,-0.06,79.00,79.00,79.00,30.96,
1.00,8.00,-0.06,79.00,79.00,79.00,30.96,
1.00,8.00,-0.06,79.00,79.00,79.00,32.52,
1.00,8.00,-0.06,79.00,79.00,79.00,34.05,
1.00,8.00,-0.06,79.00,79.00,79.00,34.05,
1.00,8.00,-0.06,79.00,79.00,79.00,35.71,
1.00,8.00,-0.06,79.00,79.00,79.00,37.45,
1.00,8.00,-0.05,79.00,79.00,79.00,37.45,
1.00,8.00,-0.05,79.00,79.00,79.00,39.01,
1.00,8.00,-0.06,79.00,79.00,79.00,40.46,
1.00,8.00,-0.05,79.00,79.00,79.00,40.46,
1.00,8.00,-0.05,79.00,79.00,79.00,42.10,
1.00,8.00,-0.05,79.00,79.00,79.00,43.98,
1.00,8.00,-0.06,79.00,79.00,79.00,43.98,
0.82,8.00,-0.07,79.00,79.00,79.00,45.84,
0.62,8.00,-0.07,79.00,79.00,79.00,47.75,
0.62,8.00,-0.06,79.00,79.00,79.00,47.75,
0.46,8.00,-0.06,79.00,79.00,79.00,49.36,
0.36,8.00,-0.06,79.00,79.00,79.00,50.42,
0.36,8.00,-0.07,79.00,79.00,79.00,50.42,
0.32,8.00,-0.07,79.00,79.00,79.00,50.82,
0.32,8.00,-0.07,79.00,79.00,79.00,50.84,
0.32,8.00,-0.07,79.00,79.00,79.00,50.84,
0.32,8.00,-0.08,79.00,79.00,79.00,50.84,
0.31,8.00,-0.09,79.00,79.00,79.00,50.87,
0.31,8.00,-0.08,79.00,79.00,79.00,50.87,
0.31,8.00,-0.08,79.00,79.00,79.00,50.87,
0.31,8.00,-0.08,79.00,79.00,79.00,50.87,
0.31,8.00,-0.07,79.00,79.00,79.00,50.87,
0.31,8.00,-0.06,79.00,79.00,79.00,50.87,
0.31,8.00,-0.07,79.00,79.00,79.00,50.87,
0.31,8.00,-0.07,79.00,79.00,79.00,50.87,
0.31,8.00,-0.07,79.00,79.00,79.00,50.87,
0.31,8.00,-0.07,79.00,79.00,79.00,50.87,
0.31,8.00,-0.07,79.00,79.00,79.00,50.87,
0.31,8.00,-0.07,79.00,79.00,79.00,50.87,
0.31,8.00,-0.06,79.00,79.00,79.00,50.89,
0.31,8.00,-0.06,79.00,79.00,79.00,50.89,
0.31,8.00,-0.07,79.00,79.00,79.00,50.89,
0.31,8.00,-0.07,79.00,79.00,79.00,50.92,
0.31,8.00,-0.07,79.00,79.00,79.00,50.92,
0.31,8.00,-0.07,79.00,79.00,79.00,50.92,
0.31,8.00,-0.07,79.00,79.00,79.00,50.92,
0.31,8.00,-0.06,79.00,79.00,79.00,50.92,
0.31,8.00,-0.06,79.00,79.00,79.00,50.92,
0.31,8.00,-0.05,79.00,79.00,79.00,50.92,
0.31,8.00,-0.05,79.00,79.00,79.00,50.92,
0.31,8.00,-0.05,79.00,79.00,79.00,50.92,
0.31,8.00,-0.05,79.00,79.00,79.00,50.94,
0.31,8.00,-0.05,79.00,79.00,79.00,50.94,
0.30,8.00,-0.05,79.00,79.00,79.00,50.97,
0.30,8.00,-0.06,79.00,79.00,79.00,50.97,
0.02,8.00,-0.05,79.00,79.00,79.00,50.97,
0.08,8.00,-0.04,79.00,79.00,79.00,50.97,
0.08,8.00,-0.05,79.00,79.00,79.00,50.97,
0.33,8.00,-0.04,79.00,79.00,79.00,50.97,
0.38,8.00,-0.03,79.00,79.00,79.00,50.97,
0.38,8.00,-0.03,79.00,79.00,79.00,50.97,
0.40,8.00,-0.03,79.00,79.00,79.00,50.97,
0.40,8.00,-0.01,79.00,79.00,79.00,51.02,
0.40,8.00,-0.01,79.00,79.00,79.00,51.07,
0.42,8.00,-0.01,79.00,79.00,79.00,51.07,
0.42,8.00,-0.01,79.00,79.00,79.00,51.12,
0.42,8.00,-0.01,79.00,79.00,79.00,51.12,
0.47,8.00,-0.01,79.00,79.00,79.00,51.17,
