04/01/11 11:59 AM
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
79.00,79.00,79.00,79.00,79.00,79.00,79.00,
1.00,6.00,-0.06,79.00,79.00,79.00,0.00,
1.00,6.00,-0.06,79.00,79.00,79.00,0.00,
1.00,6.00,-0.06,79.00,79.00,79.00,0.00,
1.00,6.00,-0.08,79.00,79.00,79.00,0.00,
1.00,6.00,-0.09,79.00,79.00,79.00,1.71,
1.00,6.00,-0.09,79.00,79.00,79.00,1.71,
1.00,6.00,-0.10,79.00,79.00,79.00,3.32,
1.00,6.00,-0.09,79.00,79.00,79.00,4.98,
1.00,6.00,-0.08,79.00,79.00,79.00,4.98,
1.00,6.00,-0.08,79.00,79.00,79.00,6.64,
1.00,6.00,-0.08,79.00,79.00,79.00,8.17,
1.00,6.00,-0.08,79.00,79.00,79.00,8.17,
1.00,6.00,-0.08,79.00,79.00,79.00,9.58,
1.00,6.00,-0.08,79.00,79.00,79.00,11.01,
1.00,6.00,-0.08,79.00,79.00,79.00,12.57,
1.00,6.00,-0.08,79.00,79.00,79.00,12.57,
1.00,6.00,-0.08,79.00,79.00,79.00,14.07,
1.00,6.00,-0.08,79.00,79.00,79.00,15.48,
1.00,6.00,-0.08,79.00,79.00,79.00,15.48,
1.00,6.00,-0.09,79.00,79.00,79.00,16.99,
1.00,6.00,-0.10,79.00,79.00,79.00,18.52,
1.00,6.00,-0.10,79.00,79.00,79.00,18.52,
1.00,6.00,-0.11,79.00,79.00,79.00,20.18,
1.00,6.00,-0.10,79.00,79.00,79.00,21.76,
1.00,6.00,-0.09,79.00,79.00,79.00,21.76,
1.00,6.00,-0.09,79.00,79.00,79.00,23.35,
1.00,6.00,-0.10,79.00,79.00,79.00,24.96,
1.00,6.00,-0.09,79.00,79.00,79.00,24.96,
1.00,6.00,-0.09,79.00,79.00,79.00,26.57,
1.00,6.00,-0.09,79.00,79.00,79.00,28.20,
1.00,6.00,-0.10,79.00,79.00,79.00,28.20,
1.00,6.00,-0.10,79.00,79.00,79.00,29.71,
1.00,6.00,-0.11,79.00,79.00,79.00,31.21,
1.00,6.00,-0.11,79.00,79.00,79.00,31.21,
1.00,6.00,-0.12,79.00,79.00,79.00,32.67,
1.00,6.00,-0.13,79.00,79.00,79.00,32.67,
1.00,6.00,-0.13,79.00,79.00,79.00,34.13,
1.00,6.00,-0.13,79.00,79.00,79.00,35.66,
1.00,6.00,-0.13,79.00,79.00,79.00,35.66,
1.00,6.00,-0.13,79.00,79.00,79.00,37.30,
1.00,6.00,-0.12,79.00,79.00,79.00,38.78,
1.00,6.00,-0.11,79.00,79.00,79.00,38.78,
1.00,6.00,-0.11,79.00,79.00,79.00,40.09,
1.00,6.00,-0.12,79.00,79.00,79.00,41.24,
1.00,6.00,-0.12,79.00,79.00,79.00,41.24,
1.00,6.00,-0.13,79.00,79.00,79.00,42.40,
1.00,6.00,-0.13,79.00,79.00,79.00,43.81,
1.00,6.00,-0.14,79.00,79.00,79.00,43.81,
0.87,6.00,-0.14,79.00,79.00,79.00,45.34,
0.70,6.00,-0.15,79.00,79.00,79.00,47.00,
0.70,6.00,-0.15,79.00,79.00,79.00,47.00,
0.55,6.00,-0.16,79.00,79.00,79.00,48.51,
0.42,6.00,-0.16,79.00,79.00,79.00,49.84,
0.42,6.00,-0.17,79.00,79.00,79.00,49.84,
0.34,6.00,-0.17,79.00,79.00,79.00,50.57,
0.32,6.00,-0.17,79.00,79.00,79.00,50.77,
0.32,6.00,-0.17,79.00,79.00,79.00,50.77,
0.32,6.00,-0.18,79.00,79.00,79.00,50.79,
0.32,6.00,-0.19,79.00,79.00,79.00,50.79,
0.32,6.00,-0.20,79.00,79.00,79.00,50.79,
0.32,6.00,-0.20,79.00,79.00,79.00,50.79,
0.32,6.00,-0.20,79.00,79.00,79.00,50.79,
0.32,6.00,-0.20,79.00,79.00,79.00,50.79,
0.32,6.00,-0.20,79.00,79.00,79.00,50.82,
0.32,6.00,-0.20,79.00,79.00,79.00,50.82,
0.32,6.00,-0.20,79.00,79.00,79.00,50.82,
0.32,6.00,-0.20,79.00,79.00,79.00,50.82,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.20,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.20,79.00,79.00,79.00,50.82,
0.32,6.00,-0.20,79.00,79.00,79.00,50.82,
0.32,6.00,-0.20,79.00,79.00,79.00,50.82,
0.32,6.00,-0.20,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.20,79.00,79.00,79.00,50.82,
0.32,6.00,-0.20,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.22,79.00,79.00,79.00,50.82,
0.32,6.00,-0.23,79.00,79.00,79.00,50.84,
0.32,6.00,-0.22,79.00,79.00,79.00,50.84,
0.31,6.00,-0.22,79.00,79.00,79.00,50.87,
0.31,6.00,-0.22,79.00,79.00,79.00,50.87,
0.31,6.00,-0.22,79.00,79.00,79.00,50.87,
0.31,6.00,-0.22,79.00,79.00,79.00,50.89,
0.31,6.00,-0.22,79.00,79.00,79.00,50.89,
0.31,6.00,-0.21,79.00,79.00,79.00,50.89,
0.31,6.00,-0.22,79.00,79.00,79.00,50.89,
0.31,6.00,-0.22,79.00,79.00,79.00,50.89,
0.31,6.00,-0.22,79.00,79.00,79.00,50.89,
0.00,6.00,-0.22,79.00,79.00,79.00,50.89,
0.00,6.00,-0.22,79.00,79.00,79.00,50.89,
0.00,6.00,-0.22,79.00,79.00,79.00,50.89,
0.00,6.00,-0.22,79.00,79.00,79.00,50.89,
0.00,6.00,-0.22,79.00,79.00,79.00,50.89,
0.00,6.00,-0.22,79.00,79.00,79.00,50.89,
0.00,6.00,-0.23,79.00,79.00,79.00,50.89,
0.00,6.00,-0.23,79.00,79.00,79.00,50.89,
0.00,6.00,-0.23,79.00,79.00,79.00,50.89,
0.00,6.00,-0.24,79.00,79.00,79.00,50.89,
0.00,6.00,-0.24,79.00,79.00,79.00,50.89,
0.00,6.00,-0.24,79.00,79.00,79.00,50.89,
0.00,6.00,-0.25,79.00,79.00,79.00,50.89,
0.00,6.00,-0.24,79.00,79.00,79.00,50.89,
0.00,6.00,-0.23,79.00,79.00,79.00,50.89,
0.00,6.00,-0.22,79.00,79.00,79.00,50.89,
0.00,6.00,-0.22,79.00,79.00,79.00,50.89,
0.00,6.00,-0.22,79.00,79.00,79.00,50.89,
0.00,6.00,-0.22,79.00,79.00,79.00,50.89,
0.00,6.00,-0.23,79.00,79.00,79.00,50.89,
0.00,6.00,-0.23,79.00,79.00,79.00,50.89,
0.00,6.00,-0.23,79.00,79.00,79.00,50.89,
0.00,6.00,-0.24,79.00,79.00,79.00,50.89,
0.00,6.00,-0.24,79.00,79.00,79.00,50.89,
0.00,6.00,-0.24,79.00,79.00,79.00,50.89,
0.00,6.00,-0.23,79.00,79.00,79.00,50.89,
0.00,6.00,-0.24,79.00,79.00,79.00,50.89,
0.00,6.00,-0.25,79.00,79.00,79.00,50.89,
0.00,6.00,-0.25,79.00,79.00,79.00,50.89,
0.00,6.00,-0.25,79.00,79.00,79.00,50.89,
0.00,6.00,-0.25,79.00,79.00,79.00,50.89,
0.00,6.00,-0.25,79.00,79.00,79.00,50.89,
0.00,6.00,-0.25,79.00,79.00,79.00,50.89,
0.00,6.00,-0.24,79.00,79.00,79.00,50.89,
0.00,6.00,-0.24,79.00,79.00,79.00,50.89,
0.00,6.00,-0.23,79.00,79.00,79.00,50.89,
0.00,6.00,-0.23,79.00,79.00,79.00,50.89,
0.00,6.00,-0.23,79.00,79.00,79.00,50.89,
