04/01/11 11:30 AM
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
79.00,79.00,79.00,79.00,79.00,79.00,79.00,
1.00,6.00,-0.06,79.00,79.00,79.00,0.00,
1.00,6.00,-0.06,79.00,79.00,79.00,0.03,
1.00,6.00,-0.06,79.00,79.00,79.00,0.03,
1.00,6.00,-0.05,79.00,79.00,79.00,0.00,
1.00,6.00,-0.05,79.00,79.00,79.00,1.66,
1.00,6.00,-0.05,79.00,79.00,79.00,1.66,
1.00,6.00,-0.05,79.00,79.00,79.00,3.32,
1.00,6.00,-0.06,79.00,79.00,79.00,5.00,
1.00,6.00,-0.06,79.00,79.00,79.00,5.00,
1.00,6.00,-0.07,79.00,79.00,79.00,6.79,
1.00,6.00,-0.07,79.00,79.00,79.00,8.19,
1.00,6.00,-0.07,79.00,79.00,79.00,8.19,
1.00,6.00,-0.08,79.00,79.00,79.00,9.63,
1.00,6.00,-0.07,79.00,79.00,79.00,11.11,
1.00,6.00,-0.07,79.00,79.00,79.00,11.11,
1.00,6.00,-0.07,79.00,79.00,79.00,12.72,
1.00,6.00,-0.08,79.00,79.00,79.00,14.20,
1.00,6.00,-0.09,79.00,79.00,79.00,14.20,
1.00,6.00,-0.09,79.00,79.00,79.00,15.71,
1.00,6.00,-0.09,79.00,79.00,79.00,17.14,
1.00,6.00,-0.09,79.00,79.00,79.00,17.14,
1.00,6.00,-0.10,79.00,79.00,79.00,18.90,
1.00,6.00,-0.10,79.00,79.00,79.00,20.56,
1.00,6.00,-0.10,79.00,79.00,79.00,20.56,
1.00,6.00,-0.10,79.00,79.00,79.00,22.27,
1.00,6.00,-0.10,79.00,79.00,79.00,22.27,
1.00,6.00,-0.10,79.00,79.00,79.00,23.88,
1.00,6.00,-0.11,79.00,79.00,79.00,25.61,
1.00,6.00,-0.11,79.00,79.00,79.00,25.61,
1.00,6.00,-0.12,79.00,79.00,79.00,27.24,
1.00,6.00,-0.12,79.00,79.00,79.00,28.90,
1.00,6.00,-0.12,79.00,79.00,79.00,28.90,
1.00,6.00,-0.13,79.00,79.00,79.00,30.41,
1.00,6.00,-0.13,79.00,79.00,79.00,31.87,
1.00,6.00,-0.13,79.00,79.00,79.00,31.87,
1.00,6.00,-0.13,79.00,79.00,79.00,33.28,
1.00,6.00,-0.14,79.00,79.00,79.00,34.76,
1.00,6.00,-0.14,79.00,79.00,79.00,34.76,
1.00,6.00,-0.14,79.00,79.00,79.00,36.34,
1.00,6.00,-0.15,79.00,79.00,79.00,37.88,
1.00,6.00,-0.14,79.00,79.00,79.00,37.88,
1.00,6.00,-0.14,79.00,79.00,79.00,39.16,
1.00,6.00,-0.14,79.00,79.00,79.00,40.36,
1.00,6.00,-0.15,79.00,79.00,79.00,40.36,
1.00,6.00,-0.16,79.00,79.00,79.00,41.62,
1.00,6.00,-0.16,79.00,79.00,79.00,43.08,
1.00,6.00,-0.17,79.00,79.00,79.00,43.08,
0.93,6.00,-0.18,79.00,79.00,79.00,44.69,
0.75,6.00,-0.17,79.00,79.00,79.00,46.55,
0.75,6.00,-0.18,79.00,79.00,79.00,46.55,
0.58,6.00,-0.18,79.00,79.00,79.00,48.20,
0.43,6.00,-0.18,79.00,79.00,79.00,49.66,
0.43,6.00,-0.18,79.00,79.00,79.00,49.66,
0.35,6.00,-0.18,79.00,79.00,79.00,50.52,
0.32,6.00,-0.19,79.00,79.00,79.00,50.77,
0.32,6.00,-0.19,79.00,79.00,79.00,50.77,
0.32,6.00,-0.18,79.00,79.00,79.00,50.77,
0.32,6.00,-0.19,79.00,79.00,79.00,50.79,
0.32,6.00,-0.18,79.00,79.00,79.00,50.79,
0.32,6.00,-0.18,79.00,79.00,79.00,50.79,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.18,79.00,79.00,79.00,50.82,
0.32,6.00,-0.18,79.00,79.00,79.00,50.82,
0.32,6.00,-0.18,79.00,79.00,79.00,50.82,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.18,79.00,79.00,79.00,50.82,
0.32,6.00,-0.19,79.00,79.00,79.00,50.82,
0.32,6.00,-0.20,79.00,79.00,79.00,50.82,
0.32,6.00,-0.20,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.21,79.00,79.00,79.00,50.82,
0.32,6.00,-0.20,79.00,79.00,79.00,50.82,
0.32,6.00,-0.20,79.00,79.00,79.00,50.82,
-0.05,6.00,-0.20,79.00,79.00,79.00,50.84,
-0.20,6.00,-0.20,79.00,79.00,79.00,50.84,
-0.20,6.00,-0.19,79.00,79.00,79.00,50.84,
-0.20,6.00,-0.19,79.00,79.00,79.00,50.72,
-0.20,6.00,-0.18,79.00,79.00,79.00,49.69,
-0.20,6.00,-0.18,79.00,79.00,79.00,49.69,
-0.20,6.00,-0.19,79.00,79.00,79.00,47.90,
-0.20,6.00,-0.20,79.00,79.00,79.00,45.47,
-0.20,6.00,-0.20,79.00,79.00,79.00,45.47,
-0.20,6.00,-0.20,79.00,79.00,79.00,42.80,
-0.20,6.00,-0.20,79.00,79.00,79.00,40.21,
-0.20,6.00,-0.20,79.00,79.00,79.00,40.21,
-0.20,6.00,-0.20,79.00,79.00,79.00,37.67,
-0.20,6.00,-0.21,79.00,79.00,79.00,34.88,
-0.20,6.00,-0.21,79.00,79.00,79.00,34.88,
-0.20,6.00,-0.21,79.00,79.00,79.00,32.32,
-0.20,6.00,-0.21,79.00,79.00,79.00,29.73,
-0.20,6.00,-0.21,79.00,79.00,79.00,29.73,
-0.20,6.00,-0.21,79.00,79.00,79.00,26.99,
-0.20,6.00,-0.20,79.00,79.00,79.00,24.23,
-0.20,6.00,-0.20,79.00,79.00,79.00,24.23,
-0.20,6.00,-0.21,79.00,79.00,79.00,21.66,
-0.20,6.00,-0.21,79.00,79.00,79.00,19.00,
-0.20,6.00,-0.21,79.00,79.00,79.00,19.00,
-0.20,6.00,-0.21,79.00,79.00,79.00,16.41,
-0.20,6.00,-0.20,79.00,79.00,79.00,14.02,
-0.20,6.00,-0.21,79.00,79.00,79.00,14.02,
-0.20,6.00,-0.21,79.00,79.00,79.00,11.59,
-0.20,6.00,-0.21,79.00,79.00,79.00,9.05,
-0.20,6.00,-0.21,79.00,79.00,79.00,9.05,
-0.20,6.00,-0.21,79.00,79.00,79.00,6.58,
-0.20,6.00,-0.21,79.00,79.00,79.00,4.10,
-0.20,6.00,-0.20,79.00,79.00,79.00,4.10,
-0.20,6.00,-0.21,79.00,79.00,79.00,1.51,
0.00,6.00,-0.21,79.00,79.00,79.00,0.00,
0.00,6.00,-0.21,79.00,79.00,79.00,0.00,
0.00,6.00,-0.20,79.00,79.00,79.00,0.00,
0.00,6.00,-0.20,79.00,79.00,79.00,0.00,
0.00,6.00,-0.20,79.00,79.00,79.00,0.00,
0.00,6.00,-0.20,79.00,79.00,79.00,0.00,
0.00,6.00,-0.20,79.00,79.00,79.00,0.00,
0.00,6.00,-0.20,79.00,79.00,79.00,0.00,
0.00,6.00,-0.19,79.00,79.00,79.00,0.00,
0.00,6.00,-0.20,79.00,79.00,79.00,0.00,
0.00,6.00,-0.18,79.00,79.00,79.00,0.00,
0.00,6.00,-0.18,79.00,79.00,79.00,0.00,
0.00,6.00,-0.18,79.00,79.00,79.00,0.00,
0.00,6.00,-0.17,79.00,79.00,79.00,0.00,
0.00,6.00,-0.17,79.00,79.00,79.00,0.00,
0.00,6.00,-0.16,79.00,79.00,79.00,0.00,
0.00,6.00,-0.17,79.00,79.00,79.00,0.00,
0.00,6.00,-0.17,79.00,79.00,79.00,0.00,
0.00,6.00,-0.17,79.00,79.00,79.00,0.00,
0.00,6.00,-0.16,79.00,79.00,79.00,0.00,
0.00,6.00,-0.16,79.00,79.00,79.00,0.00,
0.00,6.00,-0.17,79.00,79.00,79.00,0.00,
0.00,6.00,-0.17,79.00,79.00,79.00,0.00,
