4/1/2011 9:38,,,,,,
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
1,1,-0.35,79,79,79,0
1,1,-0.36,79,79,79,0
1,1,-0.36,79,79,79,0
1,1,-0.36,79,79,79,0
1,1,-0.37,79,79,79,0
1,1,-0.38,79,79,79,0
1,1,-0.38,79,79,79,0
1,1,-0.38,79,79,79,0
1,1,-0.39,79,79,79,0
1,1,-0.39,79,79,79,0
1,1,-0.39,79,79,79,0
1,1,-0.39,79,79,79,0
1,1,-0.39,79,79,79,0
1,1,-0.39,79,79,79,0
1,1,-0.4,79,79,79,0
1,1,-0.4,79,79,79,0
1,1,-0.4,79,79,79,0
1,1,-0.41,79,79,79,0
1,1,-0.41,79,79,79,0
1,1,-0.42,79,79,79,0
1,1,-0.42,79,79,79,0
1,1,-0.42,79,79,79,0
1,1,-0.42,79,79,79,0
1,1,-0.42,79,79,79,0
1,1,-0.42,79,79,79,0
1,1,-0.42,79,79,79,0
1,1,-0.42,79,79,79,0
1,1,-0.42,79,79,79,0
1,1,-0.42,79,79,79,0
1,1,-0.42,79,79,79,0
1,1,-0.42,79,79,79,0
1,1,-0.42,79,79,79,0
1,1,-0.41,79,79,79,0
1,1,-0.41,79,79,79,0
1,1,-0.41,79,79,79,0
1,1,-0.41,79,79,79,0
1,1,-0.4,79,79,79,0
1,1,-0.4,79,79,79,0
1,1,-0.4,79,79,79,0
1,1,-0.4,79,79,79,0
1,1,-0.4,79,79,79,0
1,1,-0.4,79,79,79,0
1,1,-0.4,79,79,79,0
1,1,-0.4,79,79,79,0
1,1,-0.4,79,79,79,0
1,1,-0.41,79,79,79,0
1,1,-0.41,79,79,79,0
1,1,-0.41,79,79,79,0
1,1,-0.41,79,79,79,0
1,1,-0.41,79,79,79,0
1,1,-0.42,79,79,79,0
1,1,-0.43,79,79,79,0
1,1,-0.43,79,79,79,0
1,1,-0.43,79,79,79,0
1,1,-0.43,79,79,79,0
1,1,-0.43,79,79,79,0
1,1,-0.43,79,79,79,0
1,1,-0.43,79,79,79,0
1,1,-0.42,79,79,79,0
1,1,-0.43,79,79,79,0
1,1,-0.44,79,79,79,0
1,1,-0.44,79,79,79,0
1,1,-0.45,79,79,79,0
1,1,-0.44,79,79,79,0
1,1,-0.43,79,79,79,0
1,1,-0.44,79,79,79,0
1,1,-0.44,79,79,79,0
1,1,-0.44,79,79,79,0
1,1,-0.44,79,79,79,0
1,1,-0.45,79,79,79,0
1,1,-0.44,79,79,79,0
1,1,-0.44,79,79,79,0
1,1,-0.44,79,79,79,0
1,1,-0.45,79,79,79,0
1,1,-0.45,79,79,79,0
1,1,-0.46,79,79,79,0
1,1,-0.45,79,79,79,0
1,1,-0.45,79,79,79,0
1,1,-0.45,79,79,79,0
1,1,-0.45,79,79,79,0
1,1,-0.45,79,79,79,0
1,1,-0.46,79,79,79,0
1,1,-0.47,79,79,79,0
1,1,-0.47,79,79,79,0
1,1,-0.48,79,79,79,0
1,1,-0.47,79,79,79,0
1,1,-0.47,79,79,79,0
1,1,-0.47,79,79,79,0
1,1,-0.47,79,79,79,0
1,1,-0.47,79,79,79,0
1,1,-0.46,79,79,79,0
1,1,-0.45,79,79,79,0
1,1,-0.45,79,79,79,0
1,1,-0.45,79,79,79,0
1,1,-0.46,79,79,79,0
1,1,-0.47,79,79,79,0
1,1,-0.48,79,79,79,0
1,1,-0.47,79,79,79,0
1,1,-0.47,79,79,79,0
1,1,-0.48,79,79,79,0
1,1,-0.48,79,79,79,0
1,1,-0.47,79,79,79,0
1,1,-0.47,79,79,79,0
1,1,-0.47,79,79,79,0
1,1,-0.47,79,79,79,0
1,1,-0.46,79,79,79,0
1,1,-0.47,79,79,79,0
1,1,-0.46,79,79,79,0
1,1,-0.47,79,79,79,0
1,1,-0.48,79,79,79,0
1,1,-0.48,79,79,79,0
1,1,-0.48,79,79,79,0
1,1,-0.48,79,79,79,0
1,1,-0.48,79,79,79,0
1,1,-0.48,79,79,79,0
1,1,-0.49,79,79,79,0
1,1,-0.5,79,79,79,0
1,1,-0.51,79,79,79,0
1,1,-0.51,79,79,79,0
1,1,-0.51,79,79,79,0
1,1,-0.52,79,79,79,0
1,1,-0.51,79,79,79,0
1,1,-0.5,79,79,79,0
1,1,-0.5,79,79,79,0
1,1,-0.51,79,79,79,0
1,1,-0.51,79,79,79,0
1,1,-0.51,79,79,79,0
1,1,-0.52,79,79,79,0
1,1,-0.52,79,79,79,0
1,1,-0.53,79,79,79,0
1,1,-0.52,79,79,79,0
1,1,-0.52,79,79,79,0
1,1,-0.52,79,79,79,0
1,1,-0.52,79,79,79,0
1,1,-0.52,79,79,79,0
1,1,-0.52,79,79,79,0
1,1,-0.52,79,79,79,0
1,1,-0.51,79,79,79,0
1,1,-0.51,79,79,79,0
1,1,-0.51,79,79,79,0
1,1,-0.52,79,79,79,0
1,1,-0.52,79,79,79,0
