04/01/11 12:22 PM
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.02,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,-0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.00,79.00,79.00,79.00,0.00,
0.00,6.00,0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.02,79.00,79.00,79.00,0.00,
0.00,6.00,0.02,79.00,79.00,79.00,0.00,
0.00,6.00,0.03,79.00,79.00,79.00,0.00,
0.00,6.00,0.03,79.00,79.00,79.00,0.00,
0.00,6.00,0.03,79.00,79.00,79.00,0.00,
0.00,6.00,0.02,79.00,79.00,79.00,0.00,
0.00,6.00,0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.01,79.00,79.00,79.00,0.00,
0.00,6.00,0.02,79.00,79.00,79.00,0.00,
0.00,6.00,0.02,79.00,79.00,79.00,0.00,
0.00,6.00,0.03,79.00,79.00,79.00,0.00,
0.00,6.00,0.03,79.00,79.00,79.00,0.00,
0.00,6.00,0.02,79.00,79.00,79.00,0.00,
0.00,6.00,0.02,79.00,79.00,79.00,0.00,
0.00,6.00,0.02,79.00,79.00,79.00,0.00,
0.00,6.00,0.03,79.00,79.00,79.00,0.00,
0.00,6.00,0.04,79.00,79.00,79.00,0.00,
0.00,6.00,0.04,79.00,79.00,79.00,0.00,
0.00,6.00,0.04,79.00,79.00,79.00,0.00,
0.00,6.00,0.05,79.00,79.00,79.00,0.00,
0.00,6.00,0.07,79.00,79.00,79.00,0.00,
0.00,6.00,0.06,79.00,79.00,79.00,0.00,
0.00,6.00,0.06,79.00,79.00,79.00,0.00,
0.00,6.00,0.06,79.00,79.00,79.00,0.00,
0.00,6.00,0.07,79.00,79.00,79.00,0.00,
0.00,6.00,0.06,79.00,79.00,79.00,0.00,
-0.04,6.00,0.06,79.00,79.00,79.00,0.00,
-0.18,6.00,0.06,79.00,79.00,79.00,0.00,
-0.18,6.00,0.06,79.00,79.00,79.00,0.00,
-0.20,6.00,0.07,79.00,79.00,79.00,-0.03,
-0.20,6.00,0.08,79.00,79.00,79.00,-0.48,
-0.20,6.00,0.09,79.00,79.00,79.00,-0.48,
-0.20,6.00,0.09,79.00,79.00,79.00,-1.73,
-0.20,6.00,0.09,79.00,79.00,79.00,-3.67,
-0.20,6.00,0.09,79.00,79.00,79.00,-3.67,
-0.20,6.00,0.09,79.00,79.00,79.00,-5.88,
-0.20,6.00,0.10,79.00,79.00,79.00,-7.97,
-0.20,6.00,0.11,79.00,79.00,79.00,-7.97,
0.00,6.00,0.11,79.00,79.00,79.00,-0.03,
0.00,6.00,0.11,79.00,79.00,79.00,0.00,
0.00,6.00,0.10,79.00,79.00,79.00,0.00,
0.00,6.00,0.10,79.00,79.00,79.00,0.00,
0.00,6.00,0.09,79.00,79.00,79.00,0.00,
0.00,6.00,0.10,79.00,79.00,79.00,0.00,
0.00,6.00,0.11,79.00,79.00,79.00,0.00,
0.00,6.00,0.11,79.00,79.00,79.00,0.00,
0.00,6.00,0.12,79.00,79.00,79.00,0.00,
0.00,6.00,0.11,79.00,79.00,79.00,0.00,
0.00,6.00,0.12,79.00,79.00,79.00,0.00,
0.00,6.00,0.13,79.00,79.00,79.00,0.00,
0.00,6.00,0.13,79.00,79.00,79.00,0.00,
0.00,6.00,0.13,79.00,79.00,79.00,0.00,
0.00,6.00,0.13,79.00,79.00,79.00,0.00,
0.00,6.00,0.13,79.00,79.00,79.00,0.00,
0.00,6.00,0.13,79.00,79.00,79.00,0.00,
0.01,6.00,0.13,79.00,79.00,79.00,0.00,
0.02,6.00,0.12,79.00,79.00,79.00,0.00,
0.02,6.00,0.13,79.00,79.00,79.00,0.00,
0.02,6.00,0.13,79.00,79.00,79.00,0.00,
0.10,6.00,0.13,79.00,79.00,79.00,0.00,
0.10,6.00,0.13,79.00,79.00,79.00,0.00,
0.21,6.00,0.13,79.00,79.00,79.00,0.00,
0.44,6.00,0.13,79.00,79.00,79.00,0.00,
0.44,6.00,0.13,79.00,79.00,79.00,0.00,
0.49,6.00,0.13,79.00,79.00,79.00,0.00,
0.39,6.00,0.13,79.00,79.00,79.00,0.00,
0.39,6.00,0.14,79.00,79.00,79.00,0.00,
0.31,6.00,0.14,79.00,79.00,79.00,0.00,
0.39,6.00,0.15,79.00,79.00,79.00,0.00,
0.39,6.00,0.15,79.00,79.00,79.00,0.00,
0.85,6.00,0.15,79.00,79.00,79.00,0.00,
1.00,6.00,0.15,79.00,79.00,79.00,0.03,
1.00,6.00,0.16,79.00,79.00,79.00,0.03,
1.00,6.00,0.16,79.00,79.00,79.00,1.06,
1.00,6.00,0.16,79.00,79.00,79.00,2.39,
1.00,6.00,0.16,79.00,79.00,79.00,2.39,
1.00,6.00,0.16,79.00,79.00,79.00,3.90,
1.00,6.00,0.16,79.00,79.00,79.00,5.43,
1.00,6.00,0.17,79.00,79.00,79.00,5.43,
1.00,6.00,0.17,79.00,79.00,79.00,6.91,
1.00,6.00,0.18,79.00,79.00,79.00,8.24,
1.00,6.00,0.19,79.00,79.00,79.00,8.24,
1.00,6.00,0.19,79.00,79.00,79.00,9.50,
1.00,6.00,0.19,79.00,79.00,79.00,10.93,
1.00,6.00,0.19,79.00,79.00,79.00,10.93,
1.00,6.00,0.18,79.00,79.00,79.00,12.37,
1.00,6.00,0.18,79.00,79.00,79.00,13.82,
1.00,6.00,0.18,79.00,79.00,79.00,13.82,
1.00,6.00,0.18,79.00,79.00,79.00,15.08,
1.00,6.00,0.17,79.00,79.00,79.00,16.44,
1.00,6.00,0.18,79.00,79.00,79.00,16.44,
1.00,6.00,0.18,79.00,79.00,79.00,17.84,
1.00,6.00,0.17,79.00,79.00,79.00,19.35,
1.00,6.00,0.18,79.00,79.00,79.00,19.35,
1.00,6.00,0.19,79.00,79.00,79.00,20.89,
1.00,6.00,0.19,79.00,79.00,79.00,22.42,
1.00,6.00,0.19,79.00,79.00,79.00,22.42,
1.00,6.00,0.20,79.00,79.00,79.00,23.88,
1.00,6.00,0.20,79.00,79.00,79.00,25.38,
1.00,6.00,0.20,79.00,79.00,79.00,25.38,
1.00,6.00,0.20,79.00,79.00,79.00,26.89,
1.00,6.00,0.20,79.00,79.00,79.00,28.30,
1.00,6.00,0.20,79.00,79.00,79.00,28.30,
1.00,6.00,0.20,79.00,79.00,79.00,29.66,
1.00,6.00,0.20,79.00,79.00,79.00,30.96,
1.00,6.00,0.20,79.00,79.00,79.00,30.96,
1.00,6.00,0.20,79.00,79.00,79.00,32.25,
1.00,6.00,0.20,79.00,79.00,79.00,33.48,
1.00,6.00,0.20,79.00,79.00,79.00,33.48,
1.00,6.00,0.20,79.00,79.00,79.00,34.78,
1.00,6.00,0.21,79.00,79.00,79.00,36.19,
1.00,6.00,0.19,79.00,79.00,79.00,36.19,
1.00,6.00,0.18,79.00,79.00,79.00,37.65,
1.00,6.00,0.19,79.00,79.00,79.00,38.88,
1.00,6.00,0.18,79.00,79.00,79.00,38.88,
1.00,6.00,0.17,79.00,79.00,79.00,40.01,
1.00,6.00,0.17,79.00,79.00,79.00,41.09,
1.00,6.00,0.17,79.00,79.00,79.00,41.09,
1.00,6.00,0.16,79.00,79.00,79.00,42.15,
1.00,6.00,0.17,79.00,79.00,79.00,43.13,
1.00,6.00,0.17,79.00,79.00,79.00,43.13,
1.00,6.00,0.18,79.00,79.00,79.00,44.31,
1.00,6.00,0.17,79.00,79.00,79.00,45.69,
1.00,6.00,0.17,79.00,79.00,79.00,45.69,
1.00,6.00,0.18,79.00,79.00,79.00,47.10,
1.00,6.00,0.17,79.00,79.00,79.00,48.58,
1.00,6.00,0.17,79.00,79.00,79.00,48.58,
