04/01/11 12:25 PM
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
79.00,79.00,79.00,79.00,79.00,79.00,79.00,
1.00,6.00,-0.06,79.00,79.00,79.00,0.00,
1.00,6.00,-0.06,79.00,79.00,79.00,0.18,
1.00,6.00,-0.06,79.00,79.00,79.00,0.18,
1.00,6.00,-0.07,79.00,79.00,79.00,0.80,
1.00,6.00,-0.08,79.00,79.00,79.00,1.99,
1.00,6.00,-0.08,79.00,79.00,79.00,3.22,
1.00,6.00,-0.08,79.00,79.00,79.00,3.22,
1.00,6.00,-0.07,79.00,79.00,79.00,4.52,
1.00,6.00,-0.07,79.00,79.00,79.00,4.52,
1.00,6.00,-0.07,79.00,79.00,79.00,5.88,
0.00,6.00,-0.07,79.00,79.00,79.00,7.11,
0.00,6.00,-0.07,79.00,79.00,79.00,7.11,
0.00,6.00,-0.08,79.00,79.00,79.00,7.87,
0.00,6.00,-0.08,79.00,79.00,79.00,7.77,
0.00,6.00,-0.07,79.00,79.00,79.00,7.77,
0.00,6.00,-0.08,79.00,79.00,79.00,7.67,
0.00,6.00,-0.08,79.00,79.00,79.00,7.67,
0.00,6.00,-0.06,79.00,79.00,79.00,7.67,
0.00,6.00,-0.05,79.00,79.00,79.00,7.67,
0.00,6.00,-0.05,79.00,79.00,79.00,7.67,
0.00,6.00,-0.06,79.00,79.00,79.00,7.67,
0.00,6.00,-0.05,79.00,79.00,79.00,7.67,
0.00,6.00,-0.06,79.00,79.00,79.00,7.67,
0.00,6.00,-0.07,79.00,79.00,79.00,7.67,
0.00,6.00,-0.06,79.00,79.00,79.00,7.67,
0.00,6.00,-0.06,79.00,79.00,79.00,7.67,
0.00,6.00,-0.06,79.00,79.00,79.00,7.67,
0.00,6.00,-0.06,79.00,79.00,79.00,7.67,
0.00,6.00,-0.07,79.00,79.00,79.00,7.67,
0.00,6.00,-0.06,79.00,79.00,79.00,7.67,
0.00,6.00,-0.07,79.00,79.00,79.00,7.67,
0.00,6.00,-0.06,79.00,79.00,79.00,7.67,
0.00,6.00,-0.05,79.00,79.00,79.00,7.67,
0.00,6.00,-0.05,79.00,79.00,79.00,7.67,
0.00,6.00,-0.05,79.00,79.00,79.00,7.67,
0.00,6.00,-0.06,79.00,79.00,79.00,7.67,
0.00,6.00,-0.06,79.00,79.00,79.00,7.67,
0.00,6.00,-0.06,79.00,79.00,79.00,7.67,
0.00,6.00,-0.06,79.00,79.00,79.00,7.67,
0.00,6.00,-0.06,79.00,79.00,79.00,7.67,
0.00,6.00,-0.05,79.00,79.00,79.00,7.67,
0.00,6.00,-0.05,79.00,79.00,79.00,7.67,
0.00,6.00,-0.05,79.00,79.00,79.00,7.67,
0.00,6.00,-0.06,79.00,79.00,79.00,7.67,
0.00,6.00,-0.05,79.00,79.00,79.00,7.67,
-0.02,6.00,-0.05,79.00,79.00,79.00,7.67,
-0.11,6.00,-0.08,79.00,79.00,79.00,7.67,
-0.11,6.00,-0.07,79.00,79.00,79.00,7.67,
-0.20,6.00,-0.07,79.00,79.00,79.00,7.67,
-0.20,6.00,-0.07,79.00,79.00,79.00,7.46,
-0.20,6.00,-0.06,79.00,79.00,79.00,7.46,
-0.20,6.00,-0.07,79.00,79.00,79.00,6.51,
-0.20,6.00,-0.07,79.00,79.00,79.00,4.83,
-0.20,6.00,-0.07,79.00,79.00,79.00,4.83,
-0.20,6.00,-0.08,79.00,79.00,79.00,2.61,
-0.20,6.00,-0.08,79.00,79.00,79.00,0.40,
-0.20,6.00,-0.07,79.00,79.00,79.00,0.40,
-0.20,6.00,-0.07,79.00,79.00,79.00,-1.78,
-0.20,6.00,-0.08,79.00,79.00,79.00,-4.10,
-0.20,6.00,-0.07,79.00,79.00,79.00,-4.10,
-0.20,6.00,-0.07,79.00,79.00,79.00,-6.38,
-0.20,6.00,-0.06,79.00,79.00,79.00,-8.65,
-0.20,6.00,-0.05,79.00,79.00,79.00,-8.65,
-0.20,6.00,-0.05,79.00,79.00,79.00,-10.86,
-0.20,6.00,-0.05,79.00,79.00,79.00,-13.12,
-0.20,6.00,-0.05,79.00,79.00,79.00,-13.12,
-0.20,6.00,-0.05,79.00,79.00,79.00,-15.56,
-0.20,6.00,-0.06,79.00,79.00,79.00,-18.05,
-0.20,6.00,-0.06,79.00,79.00,79.00,-18.05,
-0.20,6.00,-0.06,79.00,79.00,79.00,-20.51,
-0.20,6.00,-0.06,79.00,79.00,79.00,-22.92,
-0.20,6.00,-0.07,79.00,79.00,79.00,-22.92,
-0.20,6.00,-0.06,79.00,79.00,79.00,-25.26,
-0.20,6.00,-0.07,79.00,79.00,79.00,-27.62,
-0.20,6.00,-0.06,79.00,79.00,79.00,-27.62,
-0.20,6.00,-0.06,79.00,79.00,79.00,-30.08,
-0.20,6.00,-0.07,79.00,79.00,79.00,-32.50,
-0.20,6.00,-0.07,79.00,79.00,79.00,-32.50,
-0.20,6.00,-0.08,79.00,79.00,79.00,-34.88,
-0.20,6.00,-0.07,79.00,79.00,79.00,-37.32,
-0.20,6.00,-0.05,79.00,79.00,79.00,-37.32,
-0.20,6.00,-0.04,79.00,79.00,79.00,-39.76,
-0.20,6.00,-0.05,79.00,79.00,79.00,-42.10,
-0.20,6.00,-0.04,79.00,79.00,79.00,-42.10,
-0.20,6.00,-0.05,79.00,79.00,79.00,-44.48,
-0.20,6.00,-0.05,79.00,79.00,79.00,-46.82,
-0.20,6.00,-0.05,79.00,79.00,79.00,-46.82,
-0.20,6.00,-0.05,79.00,79.00,79.00,-49.13,
-0.20,6.00,-0.04,79.00,79.00,79.00,-51.37,
-0.20,6.00,-0.04,79.00,79.00,79.00,-51.37,
-0.20,6.00,-0.04,79.00,79.00,79.00,-53.68,
-0.20,6.00,-0.04,79.00,79.00,79.00,-56.05,
-0.20,6.00,-0.04,79.00,79.00,79.00,-56.05,
-0.20,6.00,-0.05,79.00,79.00,79.00,-58.31,
-0.20,6.00,-0.04,79.00,79.00,79.00,-60.75,
-0.20,6.00,-0.04,79.00,79.00,79.00,-60.75,
-0.20,6.00,-0.03,79.00,79.00,79.00,-63.26,
0.00,6.00,-0.04,79.00,79.00,79.00,-0.03,
0.00,6.00,-0.04,79.00,79.00,79.00,-0.03,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.05,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.03,79.00,79.00,79.00,0.00,
0.00,6.00,-0.04,79.00,79.00,79.00,0.00,
0.00,6.00,-0.05,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
-0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.08,79.00,79.00,79.00,0.00,
0.00,6.00,-0.09,79.00,79.00,79.00,0.00,
0.00,6.00,-0.09,79.00,79.00,79.00,0.00,
0.00,6.00,-0.09,79.00,79.00,79.00,0.00,
0.00,6.00,-0.10,79.00,79.00,79.00,0.00,
0.00,6.00,-0.10,79.00,79.00,79.00,0.00,
0.00,6.00,-0.10,79.00,79.00,79.00,0.00,
0.00,6.00,-0.09,79.00,79.00,79.00,0.00,
0.00,6.00,-0.09,79.00,79.00,79.00,0.00,
0.00,6.00,-0.08,79.00,79.00,79.00,0.00,
0.00,6.00,-0.08,79.00,79.00,79.00,0.00,
0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.08,79.00,79.00,79.00,0.00,
0.00,6.00,-0.08,79.00,79.00,79.00,0.00,
0.00,6.00,-0.08,79.00,79.00,79.00,0.00,
0.00,6.00,-0.08,79.00,79.00,79.00,0.00,
0.00,6.00,-0.10,79.00,79.00,79.00,0.00,
0.00,6.00,-0.10,79.00,79.00,79.00,0.00,
0.00,6.00,-0.10,79.00,79.00,79.00,0.00,
0.00,6.00,-0.10,79.00,79.00,79.00,0.00,
0.00,6.00,-0.10,79.00,79.00,79.00,0.00,
0.00,6.00,-0.08,79.00,79.00,79.00,0.00,
0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.08,79.00,79.00,79.00,0.00,
0.00,6.00,-0.07,79.00,79.00,79.00,0.00,
0.00,6.00,-0.05,79.00,79.00,79.00,0.00,
0.00,6.00,-0.06,79.00,79.00,79.00,0.00,
0.00,6.00,-0.05,79.00,79.00,79.00,0.00,
