04/01/11 02:05 PM
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
79.00,79.00,79.00,79.00,79.00,79.00,79.00,
1.00,1.00,689.96,79.00,79.00,79.00,0.00,
1.00,1.00,-0.06,79.00,79.00,79.00,0.00,
1.00,1.00,-0.06,79.00,79.00,79.00,0.00,
1.00,1.00,-0.06,79.00,79.00,79.00,0.00,
1.00,1.00,-0.06,79.00,79.00,79.00,0.00,
1.00,1.00,-0.06,79.00,79.00,79.00,0.00,
1.00,1.00,-0.05,79.00,79.00,79.00,0.00,
1.00,1.00,-0.05,79.00,79.00,79.00,0.00,
1.00,1.00,-0.05,79.00,79.00,79.00,0.00,
1.00,1.00,-0.05,79.00,79.00,79.00,0.00,
1.00,1.00,-0.05,79.00,79.00,79.00,0.00,
1.00,1.00,-0.05,79.00,79.00,79.00,0.00,
1.00,1.00,-0.06,79.00,79.00,79.00,0.00,
1.00,1.00,-0.05,79.00,79.00,79.00,0.00,
1.00,1.00,-0.05,79.00,79.00,79.00,0.00,
1.00,1.00,-0.04,79.00,79.00,79.00,0.00,
1.00,1.00,-0.04,79.00,79.00,79.00,0.00,
1.00,1.00,-0.04,79.00,79.00,79.00,0.00,
1.00,1.00,-0.04,79.00,79.00,79.00,0.00,
1.00,1.00,-0.04,79.00,79.00,79.00,0.00,
1.00,1.00,-0.04,79.00,79.00,79.00,0.00,
1.00,1.00,-0.03,79.00,79.00,79.00,0.00,
1.00,1.00,-0.04,79.00,79.00,79.00,0.00,
1.00,1.00,-0.04,79.00,79.00,79.00,0.00,
1.00,1.00,-0.04,79.00,79.00,79.00,0.00,
1.00,1.00,-0.04,79.00,79.00,79.00,0.00,
1.00,1.00,-0.03,79.00,79.00,79.00,0.00,
1.00,1.00,-0.02,79.00,79.00,79.00,0.00,
1.00,1.00,-0.03,79.00,79.00,79.00,0.00,
1.00,1.00,-0.04,79.00,79.00,79.00,0.00,
1.00,1.00,-0.03,79.00,79.00,79.00,0.00,
1.00,1.00,-0.03,79.00,79.00,79.00,0.00,
1.00,1.00,-0.01,79.00,79.00,79.00,0.00,
1.00,1.00,-0.01,79.00,79.00,79.00,0.00,
1.00,1.00,-0.01,79.00,79.00,79.00,0.00,
1.00,1.00,-0.01,79.00,79.00,79.00,0.00,
1.00,1.00,0.00,79.00,79.00,79.00,0.00,
1.00,1.00,0.00,79.00,79.00,79.00,0.00,
1.00,1.00,-0.01,79.00,79.00,79.00,0.00,
1.00,1.00,0.00,79.00,79.00,79.00,0.00,
1.00,1.00,0.00,79.00,79.00,79.00,0.00,
1.00,1.00,0.00,79.00,79.00,79.00,0.00,
1.00,1.00,0.00,79.00,79.00,79.00,0.00,
1.00,1.00,-0.01,79.00,79.00,79.00,0.00,
1.00,1.00,-0.02,79.00,79.00,79.00,0.00,
1.00,1.00,-0.01,79.00,79.00,79.00,0.00,
1.00,1.00,-0.01,79.00,79.00,79.00,0.00,
1.00,1.00,0.00,79.00,79.00,79.00,0.00,
1.00,1.00,0.00,79.00,79.00,79.00,0.00,
1.00,1.00,0.01,79.00,79.00,79.00,0.00,
1.00,1.00,0.02,79.00,79.00,79.00,0.00,
1.00,1.00,0.02,79.00,79.00,79.00,0.00,
1.00,1.00,0.02,79.00,79.00,79.00,0.00,
1.00,1.00,0.02,79.00,79.00,79.00,0.00,
1.00,1.00,0.02,79.00,79.00,79.00,0.00,
1.00,1.00,0.03,79.00,79.00,79.00,0.00,
1.00,1.00,0.03,79.00,79.00,79.00,0.00,
1.00,1.00,0.02,79.00,79.00,79.00,0.00,
1.00,1.00,0.04,79.00,79.00,79.00,0.00,
1.00,1.00,0.04,79.00,79.00,79.00,0.00,
1.00,1.00,0.05,79.00,79.00,79.00,0.00,
1.00,1.00,0.05,79.00,79.00,79.00,0.00,
1.00,1.00,0.05,79.00,79.00,79.00,0.00,
1.00,1.00,0.05,79.00,79.00,79.00,0.00,
1.00,1.00,0.06,79.00,79.00,79.00,0.00,
1.00,1.00,0.06,79.00,79.00,79.00,0.00,
1.00,1.00,0.07,79.00,79.00,79.00,0.00,
1.00,1.00,0.06,79.00,79.00,79.00,0.00,
1.00,1.00,0.06,79.00,79.00,79.00,0.00,
1.00,1.00,0.07,79.00,79.00,79.00,0.00,
1.00,1.00,0.08,79.00,79.00,79.00,0.00,
1.00,1.00,0.08,79.00,79.00,79.00,0.00,
1.00,1.00,0.09,79.00,79.00,79.00,0.00,
1.00,1.00,0.09,79.00,79.00,79.00,0.00,
1.00,1.00,0.09,79.00,79.00,79.00,0.00,
1.00,1.00,0.09,79.00,79.00,79.00,0.00,
1.00,1.00,0.10,79.00,79.00,79.00,0.00,
1.00,1.00,0.10,79.00,79.00,79.00,0.00,
1.00,1.00,0.11,79.00,79.00,79.00,0.00,
1.00,1.00,0.12,79.00,79.00,79.00,0.00,
1.00,1.00,0.12,79.00,79.00,79.00,0.00,
1.00,1.00,0.12,79.00,79.00,79.00,0.00,
1.00,1.00,0.14,79.00,79.00,79.00,0.00,
1.00,1.00,0.13,79.00,79.00,79.00,0.00,
1.00,1.00,0.13,79.00,79.00,79.00,0.00,
1.00,1.00,0.14,79.00,79.00,79.00,0.00,
1.00,1.00,0.14,79.00,79.00,79.00,0.00,
1.00,1.00,0.15,79.00,79.00,79.00,0.00,
1.00,1.00,0.14,79.00,79.00,79.00,0.00,
1.00,1.00,0.14,79.00,79.00,79.00,0.00,
1.00,1.00,0.14,79.00,79.00,79.00,0.00,
1.00,1.00,0.14,79.00,79.00,79.00,0.00,
1.00,1.00,0.14,79.00,79.00,79.00,0.00,
1.00,1.00,0.13,79.00,79.00,79.00,0.00,
1.00,1.00,0.13,79.00,79.00,79.00,0.00,
1.00,1.00,0.13,79.00,79.00,79.00,0.00,
1.00,1.00,0.13,79.00,79.00,79.00,0.00,
1.00,1.00,0.13,79.00,79.00,79.00,0.00,
1.00,1.00,0.12,79.00,79.00,79.00,0.00,
1.00,1.00,0.12,79.00,79.00,79.00,0.00,
1.00,1.00,0.12,79.00,79.00,79.00,0.00,
1.00,1.00,0.13,79.00,79.00,79.00,0.00,
1.00,1.00,0.14,79.00,79.00,79.00,0.00,
1.00,1.00,0.14,79.00,79.00,79.00,0.00,
1.00,1.00,0.15,79.00,79.00,79.00,0.00,
1.00,1.00,0.15,79.00,79.00,79.00,0.00,
1.00,1.00,0.16,79.00,79.00,79.00,0.00,
1.00,1.00,0.16,79.00,79.00,79.00,0.00,
1.00,1.00,0.16,79.00,79.00,79.00,0.00,
1.00,1.00,0.17,79.00,79.00,79.00,0.00,
1.00,1.00,0.18,79.00,79.00,79.00,0.00,
1.00,1.00,0.18,79.00,79.00,79.00,0.00,
1.00,1.00,0.18,79.00,79.00,79.00,0.00,
1.00,1.00,0.19,79.00,79.00,79.00,0.00,
1.00,1.00,0.19,79.00,79.00,79.00,0.00,
1.00,1.00,0.20,79.00,79.00,79.00,0.00,
1.00,1.00,0.20,79.00,79.00,79.00,0.00,
1.00,1.00,0.21,79.00,79.00,79.00,0.00,
1.00,1.00,0.21,79.00,79.00,79.00,0.00,
1.00,1.00,0.21,79.00,79.00,79.00,0.00,
1.00,1.00,0.21,79.00,79.00,79.00,0.00,
1.00,1.00,0.21,79.00,79.00,79.00,0.00,
1.00,1.00,0.21,79.00,79.00,79.00,0.00,
1.00,1.00,0.21,79.00,79.00,79.00,0.00,
1.00,1.00,0.21,79.00,79.00,79.00,0.00,
1.00,1.00,0.21,79.00,79.00,79.00,0.00,
1.00,1.00,0.22,79.00,79.00,79.00,0.00,
1.00,1.00,0.22,79.00,79.00,79.00,0.00,
1.00,1.00,0.23,79.00,79.00,79.00,0.00,
1.00,1.00,0.23,79.00,79.00,79.00,0.00,
1.00,1.00,0.23,79.00,79.00,79.00,0.00,
1.00,1.00,0.26,79.00,79.00,79.00,0.00,
1.00,1.00,0.26,79.00,79.00,79.00,0.00,
1.00,1.00,0.27,79.00,79.00,79.00,0.00,
1.00,1.00,0.27,79.00,79.00,79.00,0.00,
1.00,1.00,0.27,79.00,79.00,79.00,0.00,
1.00,1.00,0.33,79.00,79.00,79.00,0.00,
1.00,1.00,0.33,79.00,79.00,79.00,0.00,
1.00,1.00,0.36,79.00,79.00,79.00,0.00,
1.00,1.00,0.36,79.00,79.00,79.00,0.00,
1.00,1.00,0.36,79.00,79.00,79.00,0.00,
1.00,1.00,0.40,79.00,79.00,79.00,0.00,
1.00,1.00,0.40,79.00,79.00,79.00,0.00,
1.00,1.00,0.46,79.00,79.00,79.00,0.00,
1.00,1.00,0.46,79.00,79.00,79.00,0.00,
1.00,1.00,0.46,79.00,79.00,79.00,0.00,
1.00,1.00,0.47,79.00,79.00,79.00,0.00,
1.00,1.00,0.47,79.00,79.00,79.00,0.00,
1.00,1.00,0.54,79.00,79.00,79.00,0.00,
1.00,1.00,0.54,79.00,79.00,79.00,0.00,
1.00,1.00,0.54,79.00,79.00,79.00,0.00,
1.00,1.00,0.59,79.00,79.00,79.00,0.00,
1.00,1.00,0.59,79.00,79.00,79.00,0.00,
1.00,1.00,0.61,79.00,79.00,79.00,0.00,
1.00,1.00,0.61,79.00,79.00,79.00,0.00,
1.00,1.00,0.61,79.00,79.00,79.00,0.00,
1.00,1.00,0.66,79.00,79.00,79.00,0.00,
1.00,1.00,0.66,79.00,79.00,79.00,0.00,
1.00,1.00,0.70,79.00,79.00,79.00,0.00,
1.00,1.00,0.70,79.00,79.00,79.00,0.00,
1.00,1.00,0.70,79.00,79.00,79.00,0.00,
1.00,1.00,0.75,79.00,79.00,79.00,0.00,
1.00,1.00,0.75,79.00,79.00,79.00,0.00,
1.00,1.00,0.78,79.00,79.00,79.00,0.00,
1.00,1.00,0.78,79.00,79.00,79.00,0.00,
1.00,1.00,0.78,79.00,79.00,79.00,0.00,
1.00,1.00,0.79,79.00,79.00,79.00,0.00,
1.00,1.00,0.79,79.00,79.00,79.00,0.00,
1.00,1.00,0.79,79.00,79.00,79.00,0.00,
1.00,1.00,0.81,79.00,79.00,79.00,0.00,
1.00,1.00,0.81,79.00,79.00,79.00,0.00,
1.00,1.00,0.87,79.00,79.00,79.00,0.00,
1.00,1.00,0.87,79.00,79.00,79.00,0.00,
1.00,1.00,0.94,79.00,79.00,79.00,0.00,
1.00,1.00,0.94,79.00,79.00,79.00,0.00,
1.00,1.00,0.94,79.00,79.00,79.00,0.00,
1.00,1.00,0.92,79.00,79.00,79.00,0.00,
1.00,1.00,0.92,79.00,79.00,79.00,0.00,
1.00,1.00,0.92,79.00,79.00,79.00,0.00,
1.00,1.00,0.93,79.00,79.00,79.00,0.00,
1.00,1.00,0.93,79.00,79.00,79.00,0.00,
1.00,1.00,0.95,79.00,79.00,79.00,0.00,
1.00,1.00,0.95,79.00,79.00,79.00,0.00,
1.00,1.00,0.95,79.00,79.00,79.00,0.00,
1.00,1.00,0.95,79.00,79.00,79.00,0.00,
1.00,1.00,0.95,79.00,79.00,79.00,0.00,
1.00,1.00,0.98,79.00,79.00,79.00,0.00,
1.00,1.00,0.98,79.00,79.00,79.00,0.00,
1.00,1.00,0.97,79.00,79.00,79.00,0.00,
1.00,1.00,0.97,79.00,79.00,79.00,0.00,
1.00,1.00,0.97,79.00,79.00,79.00,0.00,
1.00,1.00,1.03,79.00,79.00,79.00,0.00,
